Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DDOG,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,TEAM,TMUS,TSLA,TTD,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZM,ZS
2023-01-10,130.72999572753906,88.54000091552734,338.70001220703125,169.22000122070312,240.77999877929688,193.42999267578125,97.27999877929688,232.25,108.04000091552734,68.05000305175781,273.8800048828125,89.87000274658203,248.39999389648438,633.3900146484375,574.9299926757812,71.5999984741211,281.4599914550781,2220.949951171875,30.8700008392334,164.32000732421875,83.08000183105469,374.6400146484375,37.880001068115234,481.3999938964844,30.809999465942383,95.66999816894531,48.810001373291016,77.83000183105469,32.400001525878906,444.9700012207031,61.209999084472656,66.7699966430664,145.8800048828125,110.87999725341797,124.0199966430664,45.09000015258789,229.8300018310547,43.689998626708984,141.9499969482422,48.5,48.41999816894531,60.0,55.40999984741211,87.13999938964844,89.23999786376953,88.41999816894531,211.33999633789062,469.1099853515625,194.4499969482422,29.440000534057617,388.67999267578125,271.3599853515625,63.650001525878906,35.689998626708984,42.33000183105469,416.2699890136719,458.6099853515625,309.4800109863281,153.16000366210938,75.44999694824219,67.30999755859375,915.780029296875,132.99000549316406,50.26499938964844,189.64999389648438,37.0099983215332,228.85000610351562,57.209999084472656,327.5400085449219,159.08999633789062,166.07000732421875,306.6000061035156,64.2699966430664,826.8800048828125,134.19000244140625,117.30999755859375,66.99333190917969,94.08999633789062,177.85000610351562,77.91999816894531,116.91000366210938,698.9500122070312,119.79000091552734,106.0,132.5,5.909999847412109,327.6300048828125,132.16000366210938,149.55999755859375,118.8499984741211,44.84000015258789,178.39999389648438,183.5399932861328,288.75,36.70000076293945,12.5600004196167,160.2100067138672,72.11000061035156,70.86000061035156,104.97000122070312
2023-01-11,133.49000549316406,94.44000244140625,342.92999267578125,169.7899932861328,245.0500030517578,199.92999267578125,97.62999725341797,234.16000366210938,110.05999755859375,69.05999755859375,272.9100036621094,95.08999633789062,252.16000366210938,644.6799926757812,578.1400146484375,70.44999694824219,285.0299987792969,2224.81005859375,30.829999923706055,168.47000122070312,84.11000061035156,378.42999267578125,37.95000076293945,484.30999755859375,31.18000030517578,97.0,49.209999084472656,80.75,32.45000076293945,453.9599914550781,61.5,69.02999877929688,147.94000244140625,106.16000366210938,126.11000061035156,46.61000061035156,238.82000732421875,44.13999938964844,142.24000549316406,49.099998474121094,48.79999923706055,64.98999786376953,57.06999969482422,87.19000244140625,92.26000213623047,91.5199966430664,212.3000030517578,463.0199890136719,204.0500030517578,29.850000381469727,395.30999755859375,259.9599914550781,63.040000915527344,35.77000045776367,42.560001373291016,419.1499938964844,464.29998779296875,311.9599914550781,158.47000122070312,75.4000015258789,67.56999969482422,936.7999877929688,132.88999938964844,50.845001220703125,186.63999938964844,38.41999816894531,235.77000427246094,58.060001373291016,327.260009765625,160.00999450683594,168.72999572753906,313.0799865722656,64.62999725341797,825.5,136.7100067138672,119.68000030517578,67.37333679199219,93.0199966430664,178.0500030517578,78.54000091552734,118.38999938964844,709.9400024414062,119.54000091552734,106.30000305175781,131.97999572753906,6.0,334.3500061035156,141.77999877929688,148.8000030517578,123.22000122070312,47.310001373291016,178.8699951171875,186.47000122070312,292.25,37.119998931884766,12.600000381469727,163.9199981689453,72.77999877929688,70.01000213623047,108.05000305175781
2023-01-12,133.41000366210938,98.48999786376953,344.5400085449219,168.6699981689453,244.25999450683594,199.9600067138672,96.41000366210938,235.5800018310547,110.19999694824219,70.80000305175781,270.9200134277344,95.2699966430664,251.97000122070312,652.5599975585938,581.9400024414062,70.08000183105469,288.0799865722656,2256.77001953125,31.5,168.05999755859375,84.33999633789062,385.4700012207031,38.689998626708984,482.42999267578125,31.280000686645508,97.9800033569336,49.0,80.31999969482422,32.4900016784668,446.2300109863281,65.0999984741211,69.20999908447266,146.6199951171875,107.13999938964844,126.41999816894531,46.43000030517578,241.72000122070312,43.380001068115234,145.3300018310547,49.02000045776367,48.400001525878906,65.6500015258789,58.290000915527344,85.72000122070312,91.91000366210938,91.12999725341797,215.97999572753906,469.7099914550781,193.75,30.290000915527344,396.70001220703125,256.94000244140625,63.16999816894531,35.56999969482422,42.43000030517578,419.07000732421875,470.0400085449219,314.989990234375,159.99000549316406,75.23999786376953,66.76000213623047,1024.31005859375,136.7100067138672,50.02000045776367,188.05999755859375,39.310001373291016,238.50999450683594,57.27000045776367,330.1300048828125,165.11000061035156,170.2100067138672,313.25,64.93000030517578,810.8499755859375,136.60000610351562,119.8499984741211,67.59333038330078,93.45999908447266,175.77999877929688,79.77999877929688,121.58999633789062,714.5700073242188,118.75,105.8499984741211,132.0399932861328,5.960000038146973,333.1000061035156,146.47999572753906,149.91000366210938,123.55999755859375,46.70000076293945,178.1300048828125,182.9600067138672,296.25,36.65999984741211,13.149999618530273,163.58999633789062,71.94999694824219,69.91000366210938,104.66000366210938
2023-01-13,134.75999450683594,100.37000274658203,344.3800048828125,168.97999572753906,245.36000061035156,200.58999633789062,94.83999633789062,239.75999450683594,109.97000122070312,71.0,271.7300109863281,98.12000274658203,254.10000610351562,659.6900024414062,579.0,71.08000183105469,288.0400085449219,2301.340087890625,31.6299991607666,169.25999450683594,85.16000366210938,388.4700012207031,38.93000030517578,485.25,31.40999984741211,99.52999877929688,48.880001068115234,81.05000305175781,32.41999816894531,448.9200134277344,64.05999755859375,70.47000122070312,147.25999450683594,108.47000122070312,125.45999908447266,46.2599983215332,245.8300018310547,43.380001068115234,145.24000549316406,48.81999969482422,48.869998931884766,65.44000244140625,59.13999938964844,86.2699966430664,92.80000305175781,92.12000274658203,216.61000061035156,479.0799865722656,201.11000061035156,30.110000610351562,393.2099914550781,258.8999938964844,63.599998474121094,35.689998626708984,42.41999816894531,420.0400085449219,473.6700134277344,315.4700012207031,161.77999877929688,74.91999816894531,67.05999755859375,1082.9200439453125,136.97999572753906,51.040000915527344,192.0,40.66999816894531,239.22999572753906,56.93000030517578,332.82000732421875,168.99000549316406,171.82000732421875,315.3500061035156,65.1500015258789,815.469970703125,138.86000061035156,120.30999755859375,68.44667053222656,97.0,175.24000549316406,79.4800033569336,120.23999786376953,722.1300048828125,120.01000213623047,107.2300033569336,132.1199951171875,5.960000038146973,332.9700012207031,148.0,149.67999267578125,122.4000015258789,47.029998779296875,179.00999450683594,183.9499969482422,300.94000244140625,36.779998779296875,13.140000343322754,167.14999389648438,71.16999816894531,69.48999786376953,107.30000305175781
2023-01-17,135.94000244140625,101.2699966430664,344.3800048828125,166.91000366210938,236.77999877929688,200.6999969482422,94.86000061035156,246.0399932861328,109.41000366210938,71.58999633789062,269.4200134277344,96.05000305175781,252.67999267578125,658.1900024414062,579.239990234375,70.73999786376953,289.5899963378906,2334.02001953125,31.479999542236328,172.97000122070312,83.37000274658203,388.3500061035156,38.939998626708984,486.7699890136719,31.549999237060547,104.43000030517578,48.08000183105469,79.62000274658203,32.599998474121094,444.8800048828125,62.959999084472656,73.05999755859375,147.72999572753906,109.51000213623047,123.69999694824219,46.77000045776367,251.05999755859375,43.15999984741211,145.72999572753906,48.220001220703125,50.099998474121094,63.33000183105469,59.040000915527344,85.41000366210938,92.16000366210938,91.29000091552734,212.24000549316406,480.19000244140625,206.44000244140625,29.600000381469727,390.20001220703125,261.7300109863281,59.959999084472656,35.72999954223633,42.33000183105469,415.95001220703125,470.989990234375,323.82000732421875,160.99000549316406,74.48999786376953,67.0199966430664,1070.0,135.36000061035156,51.084999084472656,190.69000244140625,41.029998779296875,240.35000610351562,56.849998474121094,326.2200012207031,177.02000427246094,170.3300018310547,314.5799865722656,65.87000274658203,809.739990234375,142.0,118.41999816894531,67.73999786376953,94.8499984741211,176.05999755859375,80.18000030517578,120.27999877929688,728.1099853515625,119.76000213623047,106.75,129.86000061035156,5.980000019073486,337.29998779296875,152.91000366210938,146.97999572753906,131.49000549316406,47.06999969482422,175.39999389648438,181.57000732421875,311.9800109863281,36.33000183105469,13.229999542236328,166.69000244140625,71.08999633789062,69.87000274658203,113.51000213623047
2023-01-18,135.2100067138672,101.11000061035156,341.30999755859375,166.0,234.25,198.02000427246094,92.44999694824219,246.8000030517578,109.69999694824219,70.52999877929688,264.3900146484375,95.45999908447266,251.66000366210938,652.2899780273438,574.2899780273438,70.88999938964844,283.4700012207031,2296.449951171875,30.690000534057617,172.4600067138672,81.8499984741211,381.8599853515625,38.279998779296875,479.4700012207031,31.264999389648438,101.0,46.900001525878906,78.08000183105469,32.22999954223633,438.2099914550781,60.9900016784668,69.69999694824219,144.35000610351562,106.62999725341797,123.70999908447266,45.97999954223633,250.30999755859375,42.22999954223633,144.10000610351562,47.540000915527344,48.380001068115234,62.08000183105469,58.099998474121094,83.73999786376953,91.77999877929688,91.12000274658203,204.24000549316406,481.32000732421875,205.83999633789062,28.809999465942383,386.07000732421875,256.3500061035156,58.52000045776367,34.93000030517578,39.65999984741211,415.05999755859375,466.8900146484375,318.07000732421875,159.7899932861328,73.9000015258789,64.56999969482422,1068.9200439453125,133.02000427246094,50.369998931884766,197.02000427246094,40.4900016784668,235.80999755859375,56.5099983215332,326.3299865722656,173.77000427246094,170.67999267578125,315.6600036621094,66.33000183105469,805.0800170898438,141.67999267578125,117.2300033569336,66.49333190917969,89.55000305175781,171.6199951171875,77.30999755859375,122.04000091552734,724.5499877929688,117.37999725341797,105.0,130.49000549316406,5.840000152587891,335.6600036621094,148.72999572753906,145.89999389648438,128.77999877929688,45.68000030517578,173.75999450683594,180.69000244140625,309.8599853515625,35.61000061035156,12.59000015258789,164.2899932861328,68.76000213623047,67.4800033569336,113.02999877929688
2023-01-19,135.27000427246094,99.0999984741211,342.5299987792969,163.1300048828125,233.32000732421875,196.0500030517578,91.62999725341797,236.3000030517578,106.16000366210938,67.70999908447266,262.0299987792969,93.68000030517578,248.39999389648438,630.25,563.219970703125,70.48999786376953,280.1300048828125,2315.39990234375,30.489999771118164,171.9499969482422,80.83999633789062,384.20001220703125,38.13999938964844,469.489990234375,30.7549991607666,99.8499984741211,46.459999084472656,76.62000274658203,31.549999237060547,427.5899963378906,61.369998931884766,67.43000030517578,142.80999755859375,106.19999694824219,123.72000122070312,45.540000915527344,222.97000122070312,42.040000915527344,146.42999267578125,46.79999923706055,48.41999816894531,63.939998626708984,55.54999923706055,83.62000274658203,93.91000366210938,93.05000305175781,200.66000366210938,475.1300048828125,196.3800048828125,28.420000076293945,378.6000061035156,252.5,59.41999816894531,34.36000061035156,40.040000915527344,402.1000061035156,453.8900146484375,307.94000244140625,161.02999877929688,71.75,63.84000015258789,1072.739990234375,136.14999389648438,49.93000030517578,190.3800048828125,38.56999969482422,231.92999267578125,56.36000061035156,315.7799987792969,167.64999389648438,165.0,310.739990234375,63.4900016784668,793.72998046875,140.7100067138672,115.5199966430664,65.33999633789062,90.22000122070312,169.6300048828125,76.75,117.58000183105469,715.5700073242188,115.75,104.26000213623047,132.0,5.789999961853027,331.2799987792969,148.88999938964844,145.13999938964844,127.16999816894531,44.2599983215332,170.92999267578125,178.30999755859375,307.94000244140625,35.40999984741211,12.470000267028809,167.5399932861328,68.0,66.83499908447266,110.37000274658203
2023-01-20,137.8699951171875,101.27999877929688,356.3800048828125,165.1699981689453,237.1699981689453,205.89999389648438,92.16999816894531,243.00999450683594,109.6500015258789,70.06999969482422,263.239990234375,97.25,256.4200134277344,648.8499755859375,570.780029296875,69.1500015258789,285.7699890136719,2344.2900390625,31.06999969482422,178.25999450683594,83.0,396.1099853515625,39.369998931884766,480.1099853515625,31.739999771118164,103.41000366210938,46.779998779296875,78.5199966430664,32.0099983215332,436.54998779296875,62.7400016784668,71.05000305175781,147.7899932861328,107.86000061035156,125.98999786376953,46.65999984741211,222.5399932861328,42.34000015258789,147.5500030517578,49.0,49.27000045776367,66.7699966430664,56.45000076293945,83.01000213623047,99.27999877929688,98.0199966430664,202.02999877929688,488.8800048828125,204.38999938964844,29.219999313354492,398.07000732421875,256.7699890136719,60.43000030517578,34.709999084472656,39.880001068115234,413.8500061035156,472.5,312.79998779296875,166.91000366210938,73.5999984741211,64.04000091552734,1098.0899658203125,139.3699951171875,50.0,193.97999572753906,39.47999954223633,240.22000122070312,58.459999084472656,342.5,178.38999938964844,168.5,317.0199890136719,66.26000213623047,793.3800048828125,146.10000610351562,117.93000030517578,66.12666320800781,92.83999633789062,169.8800048828125,79.08999633789062,122.9000015258789,722.0,115.7300033569336,105.04000091552734,131.49000549316406,5.840000152587891,342.4200134277344,157.75,145.1199951171875,133.4199981689453,45.56999969482422,173.0,181.61000061035156,309.8399963378906,35.880001068115234,13.020000457763672,173.39999389648438,68.55000305175781,69.5,117.12000274658203
2023-01-23,141.11000061035156,105.22000122070312,364.9800109863281,169.66000366210938,240.9600067138672,211.2899932861328,92.66000366210938,251.3800048828125,114.16000366210938,76.52999877929688,260.9700012207031,97.5199966430664,260.7900085449219,676.030029296875,581.6300048828125,67.61000061035156,291.92999267578125,2401.580078125,30.59000015258789,183.41000366210938,84.13999938964844,396.010009765625,40.2599983215332,492.6099853515625,32.43000030517578,106.30000305175781,47.5,78.75,32.04999923706055,437.7699890136719,64.23999786376953,75.29000091552734,150.99000549316406,106.4000015258789,127.41000366210938,47.65999984741211,228.44000244140625,41.81999969482422,149.35000610351562,48.9900016784668,50.5099983215332,69.5199966430664,58.65999984741211,83.2300033569336,101.20999908447266,99.79000091552734,204.4600067138672,496.1400146484375,216.3800048828125,30.270000457763672,410.0,255.97999572753906,61.060001373291016,34.689998626708984,40.2599983215332,425.5799865722656,490.7799987792969,316.0799865722656,169.02000427246094,76.30999755859375,64.36000061035156,1095.0,143.27000427246094,50.05500030517578,196.94000244140625,42.75,242.5800018310547,61.81999969482422,357.4200134277344,191.92999267578125,173.02999877929688,322.8599853515625,70.80000305175781,794.4000244140625,149.33999633789062,119.98999786376953,68.16666412353516,95.30000305175781,169.1199951171875,79.5,131.02999877929688,729.9099731445312,115.77999877929688,106.20999908447266,133.49000549316406,5.880000114440918,350.3299865722656,154.5800018310547,144.3699951171875,143.75,47.189998626708984,178.1699981689453,185.36000061035156,311.80999755859375,36.66999816894531,13.510000228881836,176.42999267578125,68.01000213623047,70.97000122070312,123.76000213623047
2023-01-24,142.52999877929688,104.12999725341797,361.32000732421875,168.86000061035156,239.14999389648438,206.42999267578125,92.69999694824219,252.6300048828125,112.98999786376953,74.69999694824219,259.70001220703125,96.31999969482422,257.6000061035156,670.010009765625,585.030029296875,66.27999877929688,291.8800048828125,2402.340087890625,30.149999618530273,182.3800048828125,83.91000366210938,392.0299987792969,39.75,492.1099853515625,32.54999923706055,104.5999984741211,47.810001373291016,78.62999725341797,31.860000610351562,440.239990234375,63.91999816894531,73.69000244140625,146.52000427246094,106.02999877929688,127.48999786376953,46.689998626708984,219.47000122070312,41.5099983215332,147.24000549316406,49.58000183105469,51.09000015258789,69.5999984741211,59.0099983215332,84.0199966430664,99.20999908447266,97.69999694824219,206.92999267578125,486.70001220703125,215.14999389648438,29.920000076293945,401.54998779296875,257.9800109863281,61.619998931884766,34.97999954223633,39.81999969482422,423.1400146484375,487.5,311.2099914550781,169.6300048828125,75.72000122070312,64.83999633789062,1109.9100341796875,143.13999938964844,51.5099983215332,196.75999450683594,42.5099983215332,242.0399932861328,61.2599983215332,363.8299865722656,192.64999389648438,173.1699981689453,320.8999938964844,70.08000183105469,799.0900268554688,151.13999938964844,118.62000274658203,74.05332946777344,96.30999755859375,170.69000244140625,79.58000183105469,130.6999969482422,727.469970703125,117.72000122070312,106.63999938964844,136.85000610351562,5.789999961853027,349.2799987792969,151.6999969482422,145.80999755859375,143.88999938964844,47.619998931884766,177.0399932861328,183.35000610351562,313.57000732421875,35.900001525878906,13.380000114440918,172.52999877929688,68.33999633789062,69.43000030517578,122.6500015258789
