,0,1,2,3,4,5,6,7,8,9,Cluster_Label
TTD,-2534.5293158188765,113.75458964864156,-32.38503850460004,-57.36937914650303,-73.30658814633358,9.855791738637956,-0.12690402892308472,-6.11206103390526,-7.921789395488397,-3.7467030501875485,0
PYPL,-2596.0818774632135,-122.00803576185432,18.747259108226626,-40.04922594001061,4.41931547733333,-35.866354129166105,-7.865738361599458,2.841727881461779,16.530986814295368,4.705108005202855,0
CEG,-2115.047043289258,173.1908577295404,71.95500600468486,-78.66297026903973,46.62424368230317,24.38656387233494,-19.905996258324087,-23.32357114740101,-16.376916240909384,-7.875637863681816,0
ISRG,885.6788251148863,-27.802629075679953,-191.40254221995588,190.6288728105871,-122.40349382503007,52.39425227482777,-116.85525871005892,-25.163024277003174,13.339317426707257,63.37951392826358,2
NFLX,2475.565759726793,236.13979606691876,-132.91547384089668,263.4328442940158,139.56291601529279,-69.76498946852169,-21.133642202679102,-138.85875835667417,10.665343171239233,77.92994420017709,2
EBAY,-2938.7291895020153,-5.871818491221899,32.86778217750519,-52.513340641502325,-15.726698473213027,-11.782647515685008,-23.466038614570436,-5.553618795252852,-7.10109568855271,-3.4235840696359565,0
CPRT,-2962.8639982217505,92.03813056399963,49.876309131361076,-38.95887046442175,-44.57005689002033,4.47594410349274,-24.371981308280475,-3.376372094861101,-9.984966613595216,-3.8760087407870283,0
WBD,-3423.2939252933525,40.15310892566633,54.366656517502435,-60.61376182076519,-35.187904975309,-20.06439940380636,-20.95981628262826,1.0183707200523129,-9.886294925766062,-0.7536920944576188,0
PANW,-148.3502235229206,328.6611630258148,38.8769470607994,83.08701394375058,-63.94817132616493,15.81195314297088,79.8144539358137,86.74995897098471,76.3557320699352,-9.681965135415169,0
GOOG,-1744.1555119216569,136.61626692692886,19.239090422688946,-50.93999424883983,-37.93311082431968,42.74341669657864,-8.240211144124563,-20.044520164858078,-52.86849172109269,4.938716757249387,0
PDD,-2194.6193158092137,144.86338020377644,215.36497608865088,-67.19000246347957,137.0551773789618,-89.23474194875155,-0.5496244078925172,30.751553156683276,27.479990340902848,-13.259112078741596,0
AMD,-2005.1364428022218,135.19613396846725,24.494561767219345,60.42390576145478,-73.97398731467774,-20.379359860079933,-6.511770314233711,26.86125725758138,-45.9419906519268,-17.11761111282617,0
